Tool,Project Deployment Strategy,Project Sharing Strategy,Project Isolation,Project Portability
beRi,Python - venv,Config File,Yes,Yes
renv,Python - venv,Config File,Yes,Yes
rut,Package Manager,Config File,No,Yes
rinse,Source Compiler,Config File,No,Yes
,,,,
conda,Venv and Package Manager,Config File,Yes,Yes
bioconda,Conda Bundles and Recipes,Config File,Yes,Yes
rocker,Rocker Images,None,Yes,No
containerit,Rocker Images,Config File,Yes,Yes
RS Package Manager,?,?,,
packrat,Packrat Projects,Packrat Projects,Yes,Yes
jetpack,Packrat Projects,Packrat Projects,Yes,Yes
miniCRAN,CRAN-like Repositories,Dependency Graphs,No,No
drat,Drat Repositories,Drat Repositories,No,No
workflowr,Development Workflow,GitHub Pages Website,No,No
checkpoint,MRAN Snapshot Repositories,Pre-Config Scripting,Yes,Yes
drake,Development Workflow,Pre-Config Scripting,No,No
